2017440127,380,455,835
2015440028,380,440,820
2014875013,380,440,820
2013550023,400,380,780
2017874017,400,360,760
2013440033,400,350,750
2017890010,390,355,745
2015930030,340,380,720
2015440120,350,370,720
2014871035,340,355,695
2015440147,390,300,690
2017890022,338,330,668
2013440014,300,355,655
2015440013,310,335,645
2015440145,240,400,640
2015440099,330,305,635
2017440125,330,305,635
2016860005,320,310,630
2015440097,345,280,625
2015440138,360,265,625
2015440007,305,300,605
2014440079,295,295,590
2017440050,300,280,580
2017440112,340,225,565
2015440006,210,350,560
2015440089,280,275,555
2016440120,350,190,540
2015440050,320,215,535
2013440123,240,285,525
2015440044,190,315,505
2015930013,250,255,505
2015440116,255,245,500
2017440053,340,145,485
2015440129,200,280,480
2015875007,250,230,480
2017440131,225,250,475
2015440088,270,205,475
2014440096,250,205,455
2016890068,210,230,440
2015871037,320,105,425
2015440016,250,165,415
2013440157,215,190,405
2012440109,260,140,400
2014440097,175,205,380
2017440042,200,145,345
2014440132,200,135,335
2014860033,230,105,335
2015440146,190,135,325
2015440004,320,0,320
2016270164,165,145,310
2015440104,140,165,305
2017440056,155,145,300
2015440025,155,120,275
2016440026,180,95,275
2014440058,120,150,270
2015440001,140,125,265
2015440038,165,100,265
2014440083,130,125,255
2016890060,160,75,235
2015873022,115,110,225
2017440120,140,75,215
2015440018,125,65,190
2016440122,115,50,165
2014440012,20,65,85
2017440150,0,0,0
